total_length_cm,body_depth_cm,body_width_cm,head_length_cm,eye_diameter_mm,weight_gr,species
15.7,2.2,1.0,3.3,3.8,25.0,Hamsi
17.4,3.7,1.8,4.1,4.8,38.8,Sardalya
17.8,3.4,1.6,4.2,5.6,48.6,İstavrit
20.7,3.8,1.8,5.0,6.4,71.1,İstavrit
10.5,2.0,0.9,2.3,2.8,9.5,Sardalya
16.1,3.3,1.5,3.7,4.2,34.5,Sardalya
28.8,5.7,2.5,7.9,9.2,177.6,Mezgit
35.8,8.5,3.6,8.4,7.9,391.6,Lüfer
9.7,1.9,0.9,2.1,2.7,7.2,Sardalya
12.5,2.4,1.1,3.2,4.0,14.3,İstavrit
14.4,2.1,1.0,3.2,3.4,16.9,Hamsi
18.5,3.7,1.7,4.3,5.1,55.1,Sardalya
17.3,3.4,1.4,4.3,5.0,37.6,Sardalya
20.1,4.4,1.8,5.3,7.7,62.2,İstavrit
9.6,1.9,0.8,2.1,2.4,6.4,Sardalya
21.3,5.0,2.2,5.5,5.2,65.5,Lüfer
18.7,3.6,1.7,4.2,5.8,49.4,İstavrit
13.9,2.9,1.2,3.3,4.1,21.2,Sardalya
6.7,1.5,0.7,1.6,1.8,2.3,Sardalya
17.6,3.9,1.9,3.8,3.9,73.4,Palamut
63.1,2.4,1.4,19.4,14.5,390.5,Zargana
14.1,1.9,0.8,3.0,3.3,17.0,Hamsi
19.2,3.5,1.5,4.5,5.7,60.9,İstavrit
22.8,5.0,2.3,5.5,7.1,88.0,İstavrit
14.3,1.8,0.8,3.4,3.6,18.2,Hamsi
18.7,3.8,1.7,4.6,5.8,53.7,İstavrit
12.9,2.4,1.2,3.0,3.3,18.0,Sardalya
12.6,1.8,0.8,2.7,3.4,12.5,Hamsi
69.1,57.8,5.8,17.5,12.6,7121.0,Kalkan
18.9,6.0,2.0,5.1,5.7,66.9,İzmarit
23.2,7.5,3.0,6.4,7.5,131.2,İzmarit
12.8,1.6,0.7,2.7,3.3,13.3,Hamsi
13.2,1.9,0.9,2.9,3.4,14.3,Hamsi
20.5,4.4,2.2,5.0,6.1,66.3,İstavrit
18.6,4.2,1.9,4.8,6.8,57.6,İstavrit
7.9,1.1,0.5,1.8,1.8,3.0,Hamsi
20.5,4.2,1.6,5.5,7.6,74.7,İstavrit
15.1,2.2,1.0,3.2,4.0,19.5,Hamsi
13.3,1.9,0.9,2.6,3.5,13.8,Hamsi
15.9,3.0,1.1,3.2,3.5,32.5,Sardalya
17.7,5.5,1.7,4.4,4.8,58.4,İzmarit
52.7,12.0,5.9,11.7,11.4,1852.1,Palamut
28.0,5.0,2.2,7.6,9.9,159.0,Mezgit
15.7,3.8,1.7,3.8,4.2,38.5,Tekir
15.0,3.2,1.6,3.3,4.3,25.0,Sardalya
19.5,3.7,1.4,4.9,5.7,50.8,Mezgit
12.1,1.6,0.7,2.4,2.6,11.2,Hamsi
12.5,1.8,0.8,2.8,3.1,11.2,Hamsi
12.2,2.4,1.0,3.2,3.6,13.5,Mezgit
12.8,2.7,1.1,3.3,3.8,16.5,İstavrit
56.8,12.6,6.9,12.4,10.2,2027.0,Palamut
7.4,1.5,0.6,1.8,2.1,2.9,Mezgit
12.3,1.7,0.7,2.7,3.0,11.8,Hamsi
8.6,1.3,0.6,2.0,2.3,3.1,Hamsi
15.7,3.8,1.6,4.2,4.3,40.9,Tekir
5.4,0.9,0.4,1.1,1.3,0.9,Hamsi
29.4,6.6,2.6,7.2,6.4,205.0,Lüfer
14.3,1.9,0.9,3.1,3.7,16.0,Hamsi
19.3,4.7,2.6,4.4,4.2,108.3,Palamut
10.8,1.6,0.7,2.3,2.3,7.1,Hamsi
16.7,3.9,1.8,4.3,4.7,49.3,Tekir
14.2,2.3,1.2,3.2,4.1,16.8,Hamsi
12.4,1.7,0.7,2.5,2.8,11.0,Hamsi
18.5,3.8,1.9,4.4,4.9,47.9,Sardalya
6.6,1.2,0.5,1.8,2.1,2.1,Mezgit
16.9,3.1,1.5,4.0,5.0,35.4,Sardalya
19.1,4.0,1.8,4.5,5.9,56.5,Sardalya
8.4,1.2,0.5,1.9,2.5,3.5,Hamsi
15.5,3.3,1.3,3.7,4.3,33.0,İstavrit
11.0,2.1,0.8,2.9,3.4,9.1,Mezgit
12.2,2.4,1.1,3.2,3.5,13.3,İstavrit
18.3,4.3,1.9,4.2,4.7,51.0,Sardalya
17.3,3.8,1.6,4.7,6.0,46.6,İstavrit
21.8,4.5,2.1,5.3,7.0,83.5,İstavrit
15.8,2.3,1.0,3.4,3.8,25.8,Hamsi
38.7,8.7,4.9,8.5,7.4,731.3,Palamut
14.2,2.0,0.9,3.0,3.5,19.1,Hamsi
11.4,1.6,0.8,2.6,3.1,8.6,Hamsi
11.9,2.6,1.2,2.9,3.7,13.1,İstavrit
60.7,13.5,7.6,14.8,13.1,3094.0,Palamut
12.1,2.3,1.0,3.1,4.1,14.9,İstavrit
18.3,3.6,1.5,4.4,4.6,41.8,Lüfer
12.0,2.4,1.1,3.2,3.9,13.7,İstavrit
10.8,3.1,1.2,2.8,2.9,13.0,İzmarit
12.0,2.0,0.9,2.8,3.3,11.5,Hamsi
10.0,2.2,0.9,2.2,2.6,6.9,Sardalya
15.2,4.2,1.5,4.1,4.7,38.5,İzmarit
10.1,2.1,0.9,2.2,2.8,8.1,Sardalya
25.3,4.4,1.9,6.5,7.9,128.4,Mezgit
6.7,1.0,0.4,1.4,1.8,1.4,Hamsi
30.4,5.7,2.3,8.1,10.1,218.1,Mezgit
15.7,3.4,1.4,3.7,4.9,33.2,İstavrit
19.7,3.8,1.9,4.9,7.1,58.0,İstavrit
6.3,0.8,0.4,1.4,1.7,1.4,Hamsi
15.1,2.3,0.9,3.3,3.7,24.2,Hamsi
17.3,3.7,1.5,4.2,5.2,46.1,İstavrit
14.8,3.1,1.4,3.3,3.7,26.7,Sardalya
60.9,45.9,4.5,14.4,7.4,4814.8,Kalkan
11.8,1.7,0.7,2.5,3.0,9.5,Hamsi
17.0,3.0,1.4,3.6,4.3,37.6,Sardalya
19.8,4.2,1.9,4.8,6.5,64.4,İstavrit
19.6,3.8,1.7,4.2,4.8,63.2,Sardalya
8.3,1.1,0.5,1.8,2.1,3.5,Hamsi
14.1,1.9,0.8,3.1,3.6,16.1,Hamsi
19.5,4.0,1.8,4.5,5.7,61.6,İstavrit
19.1,3.8,1.7,4.5,5.3,55.2,İstavrit
19.3,3.9,1.8,4.7,5.5,63.0,İstavrit
19.6,3.9,1.7,4.8,6.4,64.2,İstavrit
14.7,3.2,1.5,3.1,4.0,26.5,Sardalya
27.8,1.3,0.8,7.9,6.3,29.7,Zargana
18.8,3.7,1.6,4.4,6.0,55.3,Sardalya
8.2,1.1,0.5,1.7,2.0,3.0,Hamsi
13.1,1.9,0.9,2.7,3.1,13.0,Hamsi
18.7,3.7,1.6,4.9,6.6,53.9,İstavrit
18.8,4.7,2.4,4.2,3.8,76.4,Palamut
17.3,4.0,1.6,4.3,4.1,40.8,Lüfer
26.6,5.6,2.4,7.1,9.3,135.0,Mezgit
16.5,3.2,1.3,3.9,5.1,31.4,Sardalya
9.8,1.9,0.9,2.1,2.1,6.6,Sardalya
7.2,1.5,0.7,1.8,2.3,3.0,Sardalya
20.8,1.0,0.6,7.1,5.2,12.3,Zargana
12.0,1.8,0.8,2.4,2.9,9.7,Hamsi
7.9,1.2,0.5,1.6,2.0,2.9,Hamsi
18.3,4.8,2.2,4.7,4.8,66.1,Tekir
9.5,1.7,0.7,1.9,2.4,5.6,Sardalya
8.7,1.3,0.6,1.7,2.2,3.7,Hamsi
14.8,2.1,0.8,3.0,3.6,20.6,Hamsi
10.5,1.9,0.8,2.8,3.4,8.4,Mezgit
6.1,1.0,0.5,1.3,1.6,1.2,Hamsi
13.2,2.6,1.2,3.1,4.3,19.6,İstavrit
13.5,1.9,0.8,2.9,3.6,15.1,Hamsi
10.3,2.6,1.0,2.5,2.6,10.3,Tekir
34.9,7.8,3.3,8.5,8.6,339.5,Lüfer
8.0,1.7,0.7,1.8,2.2,3.0,Sardalya
10.6,2.5,1.3,2.9,3.0,12.0,Tekir
13.3,1.9,0.8,2.9,3.5,14.3,Hamsi
14.1,2.1,0.9,3.0,3.4,18.1,Hamsi
7.5,1.6,0.7,1.7,1.9,3.2,Sardalya
15.4,3.2,1.5,3.3,3.9,27.0,Sardalya
6.7,1.3,0.6,1.5,1.7,1.8,Sardalya
14.2,2.4,1.1,3.0,3.7,19.5,Hamsi
21.7,4.7,2.2,5.8,6.4,101.8,Tekir
18.1,3.5,1.6,4.2,5.7,50.3,Sardalya
10.5,2.6,1.2,2.9,2.6,11.6,Tekir
6.1,0.8,0.3,1.3,1.7,1.3,Hamsi
51.2,3.1,1.9,14.9,9.7,180.6,Zargana
52.6,41.0,4.2,14.7,9.6,3137.6,Kalkan
7.6,1.1,0.5,1.7,1.8,2.5,Hamsi
45.6,10.4,5.2,9.1,8.5,1213.7,Palamut
8.0,1.1,0.5,1.6,1.9,2.8,Hamsi
12.9,2.5,1.0,3.1,3.6,15.8,İstavrit
16.0,3.0,1.4,3.6,4.8,34.5,Sardalya
14.7,2.1,1.0,3.1,4.0,19.0,Hamsi
14.6,2.0,0.9,3.1,3.5,18.7,Hamsi
22.0,4.5,2.1,5.3,7.0,81.1,İstavrit
18.6,4.6,2.2,4.5,5.0,64.7,Tekir
18.4,3.9,1.7,5.1,5.6,37.2,Mezgit
21.4,4.4,2.0,5.3,6.2,80.4,İstavrit
30.3,7.1,3.2,7.7,8.6,213.0,Lüfer
19.9,4.1,1.9,5.4,7.9,69.6,İstavrit
19.6,5.3,3.0,4.6,3.7,102.2,Palamut
28.4,5.4,2.1,7.1,9.3,160.7,Mezgit
26.4,5.4,2.2,7.2,7.7,141.9,Mezgit
13.3,1.9,0.9,2.8,3.3,14.7,Hamsi
27.8,1.0,0.7,8.1,5.0,28.7,Zargana
15.2,2.4,1.1,3.4,4.3,18.4,Hamsi
6.4,1.3,0.6,1.4,1.8,1.8,Sardalya
18.1,5.2,1.9,4.8,5.1,58.1,İzmarit
12.4,1.7,0.8,2.6,3.2,11.7,Hamsi
11.5,2.7,1.1,2.9,3.7,12.5,İstavrit
5.5,0.7,0.3,1.1,1.2,1.0,Hamsi
19.6,4.0,1.8,4.9,6.9,57.8,İstavrit
16.8,3.3,1.4,3.9,5.0,32.6,Sardalya
11.5,2.4,1.1,2.7,3.8,12.7,İstavrit
8.2,2.0,0.9,2.0,1.9,6.0,Tekir
43.0,1.8,1.0,12.9,10.6,108.0,Zargana
17.2,2.5,1.2,3.8,4.4,37.9,Hamsi
18.7,3.7,1.7,4.0,4.3,51.6,Sardalya
11.9,3.6,1.4,3.1,3.8,18.3,İzmarit
57.5,12.6,6.6,12.4,9.8,2350.8,Palamut
12.4,1.8,0.8,2.6,3.2,11.7,Hamsi
49.1,2.5,1.5,13.6,10.0,167.3,Zargana
13.2,1.8,0.8,3.0,3.6,16.1,Hamsi
26.9,4.6,2.0,7.5,9.2,152.9,Mezgit
9.4,1.4,0.7,2.2,2.6,4.7,Hamsi
16.9,3.4,1.6,3.6,4.4,35.0,Sardalya
14.5,2.0,0.9,3.4,4.2,16.9,Hamsi
9.1,1.9,0.9,2.4,2.3,7.0,Tekir
10.2,2.0,0.9,2.3,2.7,7.8,Sardalya
45.4,11.1,5.1,9.0,8.8,1032.9,Palamut
14.1,2.0,0.8,3.3,4.1,16.9,Hamsi
11.8,2.6,1.1,2.7,3.6,14.0,İstavrit
8.2,1.2,0.6,1.8,2.3,3.2,Hamsi
12.0,2.5,1.1,2.8,3.7,15.5,İstavrit
11.8,1.8,0.7,2.4,3.1,8.8,Hamsi
5.8,0.8,0.4,1.3,1.5,1.3,Hamsi
27.7,5.0,1.9,7.4,8.6,157.4,Mezgit
18.9,4.0,1.7,4.4,4.9,49.3,İstavrit
13.2,2.7,1.2,3.2,4.8,22.2,İstavrit
9.5,1.9,0.8,2.3,2.6,5.9,İstavrit
8.2,1.2,0.5,1.7,2.2,3.2,Hamsi
11.6,2.5,1.1,2.8,3.6,12.1,İstavrit
17.6,3.6,1.5,4.2,5.4,35.3,Sardalya
19.3,3.9,1.7,4.2,5.4,48.5,Sardalya
25.5,6.6,3.6,5.8,5.2,211.3,Palamut
24.4,4.7,2.0,6.1,7.9,119.5,Mezgit
12.9,2.0,1.0,2.6,3.0,12.1,Hamsi
64.2,4.1,2.3,17.8,12.8,347.6,Zargana
20.5,4.1,1.6,5.1,5.8,68.9,Mezgit
51.1,12.5,6.5,11.6,10.4,1686.2,Palamut
18.0,3.7,1.5,3.7,4.2,40.3,Sardalya
8.1,1.3,0.5,1.8,2.1,2.9,Hamsi
16.4,3.9,1.7,4.1,4.1,32.2,Lüfer
14.9,2.0,0.8,3.1,3.8,21.4,Hamsi
19.3,4.1,1.9,4.4,5.8,62.0,Sardalya
11.0,3.4,1.1,2.7,2.7,13.3,İzmarit
21.4,4.6,1.9,5.1,5.0,82.2,Lüfer
10.8,2.2,1.0,2.4,2.9,9.2,Sardalya
7.1,1.3,0.6,1.8,2.2,2.1,Mezgit
9.2,2.1,0.9,2.3,2.5,5.0,Sardalya
21.0,4.5,1.9,5.2,5.5,70.9,Lüfer
7.5,1.9,0.8,1.8,1.9,3.5,Tekir
17.1,3.5,1.5,4.3,5.5,41.7,İstavrit
12.2,2.5,1.1,3.3,4.3,16.3,İstavrit
11.7,1.7,0.8,2.7,3.4,10.2,Hamsi
48.1,11.3,5.9,11.6,10.8,1271.3,Palamut
7.9,1.2,0.5,1.9,2.2,3.2,Hamsi
9.0,1.8,0.8,1.9,2.4,4.9,Sardalya
14.2,2.3,1.1,2.8,3.2,14.9,Hamsi
8.3,1.1,0.5,1.8,2.0,3.4,Hamsi
21.6,1.0,0.7,6.4,4.3,13.6,Zargana
7.9,1.8,0.8,1.9,2.4,4.2,İstavrit
8.5,1.2,0.6,1.9,2.4,3.9,Hamsi
12.4,1.7,0.8,2.6,3.0,11.3,Hamsi
19.2,4.7,2.1,4.5,4.5,52.9,Lüfer
6.0,1.3,0.6,1.4,1.6,1.5,Sardalya
14.1,2.1,1.0,3.1,3.7,17.4,Hamsi
14.1,1.9,0.9,2.9,3.0,17.8,Hamsi
28.0,22.9,2.1,7.9,4.8,449.6,Kalkan
8.1,1.7,0.8,2.1,3.1,4.1,İstavrit
15.9,3.7,1.5,4.1,4.6,39.0,Tekir
22.9,4.3,1.5,6.6,8.8,77.4,Mezgit
16.9,3.5,1.6,4.1,4.1,44.4,Tekir
54.7,2.8,1.6,16.2,10.8,244.3,Zargana
15.3,2.8,1.4,3.5,4.6,29.4,Sardalya
53.4,12.0,6.3,12.3,11.5,2066.9,Palamut
20.2,4.5,2.0,5.0,6.6,73.5,İstavrit
14.3,1.9,0.9,3.3,3.6,17.7,Hamsi
14.7,2.3,0.9,3.2,4.0,17.9,Hamsi
20.4,4.1,1.9,5.2,6.5,73.9,İstavrit
7.8,1.1,0.5,1.7,2.1,2.8,Hamsi
19.7,4.6,2.0,5.1,5.5,71.7,Tekir
50.4,11.0,6.1,10.6,9.9,1779.9,Palamut
14.3,3.3,1.4,3.0,4.1,21.1,Sardalya
9.7,1.7,0.7,2.1,2.8,5.9,Sardalya
27.8,7.0,3.3,6.1,5.6,238.0,Palamut
10.0,1.5,0.7,2.3,3.1,5.4,Hamsi
10.6,2.5,1.0,2.6,2.8,11.9,Tekir
21.0,4.3,1.8,5.3,6.6,79.4,İstavrit
13.2,2.2,1.0,2.8,3.5,15.7,Hamsi
19.1,3.9,1.7,4.4,6.1,58.5,İstavrit
12.4,1.7,0.8,2.7,3.2,12.2,Hamsi
15.1,2.1,1.0,3.0,4.0,18.8,Hamsi
22.4,5.1,2.3,5.7,7.2,85.1,İstavrit
7.4,1.5,0.6,1.7,2.0,2.6,Sardalya
11.3,2.4,1.1,2.8,3.6,11.6,İstavrit
11.4,1.7,0.8,2.3,2.3,9.7,Hamsi
67.1,50.8,5.7,17.9,9.6,5720.3,Kalkan
6.5,1.3,0.5,1.4,1.7,2.1,Sardalya
8.2,1.2,0.6,1.8,2.1,3.0,Hamsi
16.4,2.9,1.2,4.0,4.4,28.5,Sardalya
12.0,2.6,1.0,2.8,3.6,13.4,İstavrit
18.5,3.9,1.7,4.5,5.5,45.0,İstavrit
27.5,5.0,2.0,7.2,8.3,162.7,Mezgit
20.1,3.7,1.6,4.5,5.6,67.3,Sardalya
28.0,6.4,3.3,6.4,6.3,293.1,Palamut
53.3,11.7,6.5,11.8,11.1,2088.7,Palamut
21.3,4.4,1.8,5.3,7.0,80.9,İstavrit
10.2,2.0,0.9,2.2,2.9,8.3,Sardalya
16.9,3.8,1.8,4.4,4.3,44.6,Tekir
36.0,8.6,3.4,8.4,9.8,404.4,Lüfer
20.4,5.0,2.2,5.1,5.5,65.5,Lüfer
28.7,6.8,3.4,6.6,6.2,295.8,Palamut
14.3,2.0,0.9,3.5,4.6,17.7,Hamsi
13.0,1.8,0.8,2.9,3.5,14.2,Hamsi
5.6,0.7,0.3,1.1,1.3,1.0,Hamsi
9.5,1.4,0.6,2.0,2.5,5.4,Hamsi
26.1,5.0,2.1,7.1,9.1,119.5,Mezgit
16.0,3.9,1.7,4.1,4.7,40.8,Tekir
76.5,59.1,5.8,21.7,14.1,10127.5,Kalkan
51.1,11.2,6.0,12.3,11.7,1574.1,Palamut
9.6,2.0,0.8,2.3,2.8,6.3,Sardalya
17.7,3.7,1.8,4.2,5.4,38.1,Sardalya
6.1,0.8,0.4,1.2,1.5,1.3,Hamsi
10.8,2.3,0.9,2.9,3.4,9.0,Mezgit
8.2,1.9,0.9,2.0,2.3,4.2,İstavrit
21.2,4.2,1.9,5.5,7.5,73.4,İstavrit
8.2,1.1,0.4,1.9,2.5,3.1,Hamsi
9.8,1.9,1.0,2.2,2.8,6.7,Sardalya
21.4,4.6,2.0,4.9,6.8,84.5,İstavrit
19.4,4.3,1.9,4.8,5.9,59.2,İstavrit
10.1,2.3,1.0,2.4,2.5,10.9,Tekir
10.0,2.5,1.1,2.5,2.5,10.2,Tekir
10.9,2.3,1.0,2.8,3.2,11.9,İstavrit
14.8,2.0,1.0,3.0,4.1,22.2,Hamsi
9.8,2.2,0.9,2.5,3.0,9.5,Tekir
17.9,5.0,1.6,4.3,4.9,59.7,İzmarit
8.3,1.1,0.5,1.8,2.0,3.5,Hamsi
18.3,3.9,1.8,4.2,5.2,48.0,Sardalya
7.9,1.1,0.5,1.9,2.0,2.9,Hamsi
21.6,4.5,2.0,5.6,6.7,77.8,İstavrit
7.7,1.8,0.8,2.1,1.9,4.4,Tekir
18.8,4.1,1.7,4.7,5.8,53.2,İstavrit
14.0,3.0,1.2,3.4,3.8,25.3,İstavrit
18.1,3.4,1.5,5.1,5.6,51.0,Mezgit
12.7,2.0,1.0,2.9,3.7,12.0,Hamsi
16.5,3.5,1.4,3.8,4.0,31.7,Sardalya
17.9,4.8,2.3,4.6,4.8,50.9,Tekir
14.2,2.9,1.2,3.1,3.3,19.8,Sardalya
12.9,1.8,0.8,2.8,3.2,11.7,Hamsi
13.2,2.6,1.3,3.1,4.1,17.1,İstavrit
12.2,1.8,0.8,2.9,3.4,10.1,Hamsi
15.7,3.5,1.5,3.8,4.6,30.9,İstavrit
17.8,3.9,1.7,4.2,4.9,57.9,Tekir
13.8,2.1,1.0,3.1,3.2,17.7,Hamsi
7.8,1.2,0.5,1.8,2.1,2.4,Hamsi
11.0,2.3,1.0,2.8,3.7,10.7,İstavrit
14.9,2.2,0.9,3.4,4.4,21.2,Hamsi
13.0,1.9,0.8,3.0,3.2,12.5,Hamsi
12.9,1.8,0.8,2.8,3.5,14.0,Hamsi
20.8,4.1,2.0,5.0,6.4,85.6,İstavrit
11.8,2.0,0.8,3.3,4.1,12.5,Mezgit
46.9,11.6,6.0,10.8,9.4,1251.0,Palamut
14.5,2.0,1.0,3.2,4.0,19.6,Hamsi
8.3,1.6,0.8,2.0,2.4,4.5,İstavrit
6.4,0.9,0.4,1.3,1.6,1.5,Hamsi
12.5,1.9,0.9,2.7,2.8,11.0,Hamsi
8.1,1.2,0.5,1.8,2.1,2.8,Hamsi
20.1,4.3,2.0,4.6,5.9,67.1,İstavrit
16.4,2.0,0.9,3.4,4.4,29.3,Hamsi
22.9,4.1,1.6,5.9,7.6,81.2,Mezgit
10.8,2.1,0.8,2.8,2.9,9.7,Mezgit
52.2,11.7,5.7,12.0,9.8,1880.1,Palamut
23.0,4.4,2.0,6.1,7.2,93.8,Mezgit
8.3,1.2,0.5,1.7,2.3,3.5,Hamsi
17.4,3.8,1.8,4.4,5.4,40.8,İstavrit
13.9,1.9,0.9,3.2,3.8,13.8,Hamsi
19.1,5.3,1.8,5.7,7.1,76.1,İzmarit
36.8,8.1,4.3,8.8,8.2,655.9,Palamut
22.9,5.8,2.6,5.6,5.7,97.9,Tekir
21.8,4.7,2.2,5.5,7.5,83.7,İstavrit
53.1,40.4,4.3,14.7,8.8,3234.1,Kalkan
18.6,3.8,1.7,4.6,5.9,52.1,İstavrit
33.3,7.5,3.4,7.9,8.2,324.2,Lüfer
13.4,2.1,0.9,2.8,3.7,14.4,Hamsi
20.4,4.4,1.7,4.8,5.3,66.3,İstavrit
10.3,1.9,0.8,2.2,2.6,8.0,Sardalya
12.6,1.7,0.7,2.6,2.9,12.9,Hamsi
19.4,3.8,1.6,4.9,5.7,63.9,İstavrit
16.7,2.6,1.1,3.7,4.7,29.1,Hamsi
14.9,2.4,0.9,3.4,4.7,17.8,Hamsi
8.3,2.1,1.0,1.9,2.2,5.3,Tekir
58.1,13.3,7.0,13.2,11.6,2435.8,Palamut
11.3,1.8,0.7,2.3,2.6,9.3,Hamsi
14.0,2.1,1.0,2.9,3.8,16.2,Hamsi
12.5,3.7,1.4,3.3,3.8,21.1,İzmarit
11.0,1.5,0.7,2.4,2.5,6.9,Hamsi
32.0,24.2,2.6,8.9,6.2,643.4,Kalkan
18.9,3.7,1.7,4.3,5.1,50.6,Sardalya
52.0,2.4,1.5,16.1,13.6,227.7,Zargana
10.3,2.4,1.1,2.7,2.9,10.7,Tekir
16.8,3.1,1.3,3.6,4.5,35.9,Sardalya
23.9,5.9,2.6,5.8,6.3,138.6,Tekir
27.0,6.7,2.7,5.9,6.9,158.1,Lüfer
18.5,4.0,1.7,4.6,5.9,57.4,İstavrit
11.9,2.9,1.1,2.9,3.1,11.6,Lüfer
18.6,3.9,2.0,4.1,5.0,51.9,İstavrit
16.3,5.0,1.7,4.0,4.4,43.0,İzmarit
8.6,1.3,0.6,1.9,2.1,3.7,Hamsi
12.1,1.8,0.8,2.6,2.4,10.8,Hamsi
36.9,8.2,3.7,9.1,9.6,376.2,Lüfer
15.5,2.8,1.3,3.6,4.9,27.6,Sardalya
12.7,1.9,0.9,2.6,3.0,12.2,Hamsi
19.1,3.9,1.8,4.4,5.1,66.1,İstavrit
8.3,1.6,0.7,2.1,2.7,4.1,Mezgit
9.5,1.8,0.8,2.1,2.6,6.2,Sardalya
60.4,13.8,7.2,13.4,13.5,3028.6,Palamut
18.9,4.4,2.0,4.8,4.5,60.2,Tekir
18.8,5.8,2.1,5.1,5.7,68.6,İzmarit
13.8,2.0,0.8,2.9,3.3,19.5,Hamsi
13.5,2.0,1.0,2.8,3.6,15.2,Hamsi
34.3,6.3,2.8,9.1,10.3,243.6,Mezgit
15.4,2.1,1.0,3.2,3.6,21.1,Hamsi
30.0,24.4,2.4,8.6,6.3,518.6,Kalkan
20.4,3.9,1.6,4.6,5.5,62.4,İstavrit
17.5,3.7,1.8,4.1,5.0,44.7,Sardalya
39.0,8.7,3.8,9.3,8.9,412.3,Lüfer
8.1,1.2,0.6,1.7,2.3,3.4,Hamsi
28.0,4.9,2.1,7.4,9.2,182.4,Mezgit
7.7,2.4,0.9,2.1,2.1,5.1,İzmarit
11.3,2.2,1.0,2.7,3.5,13.0,İstavrit
21.5,4.3,2.0,5.3,7.1,79.9,İstavrit
8.7,1.3,0.7,2.0,2.1,4.0,Hamsi
10.3,2.2,1.0,2.6,2.7,11.1,Tekir
15.7,2.8,1.2,3.7,4.8,27.5,Sardalya
11.7,2.6,1.1,3.0,3.8,13.1,İstavrit
8.4,1.2,0.5,1.8,2.0,3.8,Hamsi
23.1,4.1,1.7,6.0,7.2,94.2,Mezgit
18.2,3.8,1.7,4.0,4.9,48.7,Sardalya
18.9,4.6,2.0,4.8,5.0,46.3,Lüfer
16.1,2.4,1.1,3.3,3.6,25.4,Hamsi
13.6,1.8,0.8,2.8,3.0,13.9,Hamsi
16.6,4.0,1.8,4.4,5.1,35.1,İstavrit
13.1,2.2,1.1,2.8,3.4,13.5,Hamsi
11.1,3.2,1.0,3.0,3.1,16.1,İzmarit
9.7,1.9,0.8,2.1,2.7,6.2,Sardalya
10.8,2.1,0.9,2.4,3.2,9.5,Sardalya
15.6,3.3,1.4,3.6,4.7,29.9,Sardalya
7.8,1.1,0.6,1.7,1.5,2.4,Hamsi
40.0,9.6,4.1,9.8,9.6,508.1,Lüfer
14.9,2.0,0.7,3.1,3.2,20.6,Hamsi
11.6,2.5,1.1,2.9,3.7,12.6,İstavrit
16.2,3.0,1.5,3.8,4.7,29.9,Sardalya
20.4,4.4,1.8,4.5,5.3,79.6,Sardalya
53.9,2.8,1.7,16.9,10.5,211.2,Zargana
7.1,1.7,0.8,1.9,1.9,3.6,Tekir
20.5,4.7,2.5,4.4,3.6,105.7,Palamut
9.7,2.1,0.9,2.4,3.2,7.8,İstavrit
18.6,5.5,1.8,5.0,4.8,68.3,İzmarit
17.9,4.3,2.0,4.7,4.4,53.1,Tekir
18.8,3.4,1.5,4.9,6.1,50.4,İstavrit
13.7,1.9,0.9,2.5,3.3,17.0,Hamsi
11.6,1.5,0.6,2.7,3.0,8.6,Hamsi
13.4,1.9,0.8,2.6,2.7,15.2,Hamsi
21.5,3.4,1.5,5.4,5.9,69.0,Mezgit
22.1,7.1,3.0,5.6,6.8,122.7,İzmarit
11.7,2.1,0.9,2.9,3.6,10.9,Mezgit
12.0,1.6,0.7,2.6,2.9,11.2,Hamsi
41.1,10.5,5.6,9.4,8.8,825.4,Palamut
15.7,3.1,1.4,3.6,4.5,32.8,Sardalya
21.9,3.9,1.7,5.8,6.9,84.0,Mezgit
5.7,0.8,0.3,1.2,1.4,1.0,Hamsi
21.5,5.1,2.2,5.5,5.7,76.2,Lüfer
9.6,2.1,1.0,2.1,2.6,6.0,Sardalya
6.4,1.6,0.7,1.7,1.5,2.5,Tekir
14.0,2.3,1.0,3.1,3.4,15.2,Hamsi
15.4,3.6,1.6,3.6,4.0,32.3,Tekir
13.5,2.0,1.0,2.8,3.4,16.7,Hamsi
8.2,1.5,0.6,2.2,2.6,3.9,Mezgit
19.0,5.8,2.1,4.8,5.6,76.5,İzmarit
13.1,1.8,0.8,2.9,3.6,13.1,Hamsi
10.8,2.1,0.9,2.5,2.6,7.9,Sardalya
14.5,11.2,1.4,3.8,2.2,57.4,Kalkan
26.6,5.1,2.1,6.6,7.8,142.6,Mezgit
5.8,0.7,0.3,1.2,1.4,1.1,Hamsi
13.0,1.9,0.8,2.9,3.4,12.4,Hamsi
58.4,13.9,7.7,13.6,12.6,2271.4,Palamut
60.6,14.0,8.1,13.3,13.3,2762.7,Palamut
20.4,5.0,2.2,4.9,4.0,117.4,Palamut
10.9,3.2,1.0,2.8,2.9,14.4,İzmarit
7.7,1.2,0.5,1.7,1.9,2.6,Hamsi
16.7,3.3,1.4,3.5,4.3,36.3,Sardalya
12.3,1.6,0.7,2.7,3.1,10.8,Hamsi
19.1,3.9,1.7,4.6,5.4,51.6,Sardalya
12.0,2.7,1.1,3.0,4.0,14.3,İstavrit
7.4,1.7,0.7,1.8,1.9,3.8,Tekir
